 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
391,0,NaN,NaN,4536,NaN,NaN,0.000,391,1,255
392,1,233.500,680.500,4536,1.128,1.128,0.000,392,1,255
393,3,1295.500,323.500,4536,3.385,1.128,90.000,393,1,255
394,0,NaN,NaN,4536,NaN,NaN,0.000,394,1,255
395,1,415.500,258.500,4536,1.128,1.128,0.000,395,1,255
396,2,1058.000,793.000,4536,39.915,0.064,81.242,396,1,255
397,4,314.750,480.750,4536,2.685,1.897,161.541,397,1,255
398,1,1207.500,132.500,4536,1.128,1.128,90.000,398,1,255
399,0,NaN,NaN,4536,NaN,NaN,0.000,399,1,255
400,0,NaN,NaN,4536,NaN,NaN,0.000,400,1,255
401,0,NaN,NaN,4536,NaN,NaN,0.000,401,1,255
402,2,1288.500,506.000,4536,2.257,1.128,90.000,402,1,255
403,6,432.167,575.667,4536,69.211,0.110,170.444,403,1,255
404,4,1295.250,33.500,4536,2.734,1.863,90.000,404,1,255
405,2,0.500,782.000,4536,2.257,1.128,90.000,405,1,255
406,0,NaN,NaN,4536,NaN,NaN,0.000,406,1,255
407,0,NaN,NaN,4536,NaN,NaN,0.000,407,1,255
408,2,1295.500,773.500,4536,5.156,0.494,90.000,408,1,255
409,3,1026.833,754.833,4536,42.805,0.089,58.201,409,1,255
410,0,NaN,NaN,4536,NaN,NaN,0.000,410,1,255
411,4,1295.500,338.750,4536,58.698,0.087,90.000,411,1,255
412,4,1295.500,612.000,4536,39.671,0.128,90.000,412,1,255
413,0,NaN,NaN,4536,NaN,NaN,0.000,413,1,255
414,3,0.500,326.500,4536,3.385,1.128,90.000,414,1,255
415,1,0.500,0.500,4536,1.128,1.128,0.000,415,1,255
416,0,NaN,NaN,4536,NaN,NaN,0.000,416,1,255
417,1,1295.500,660.500,4536,1.128,1.128,0.000,417,1,255
418,0,NaN,NaN,4536,NaN,NaN,0.000,418,1,255
419,1,0.500,279.500,4536,1.128,1.128,0.000,419,1,255
420,1,221.500,0.500,4536,1.128,1.128,0.000,420,1,255
421,9,219.389,547.167,4536,5.325,2.152,125.790,421,1,255
422,3,0.500,619.500,4536,3.385,1.128,90.000,422,1,255
423,0,NaN,NaN,4536,NaN,NaN,0.000,423,1,255
424,8,560.000,549.875,4536,79.013,0.129,29.038,424,1,255
425,0,NaN,NaN,4536,NaN,NaN,0.000,425,1,255
426,0,NaN,NaN,4536,NaN,NaN,0.000,426,1,255
427,5,335.100,102.500,4536,2.791,2.281,1.737E-9,427,1,255
428,1,560.500,106.500,4536,1.128,1.128,90.000,428,1,255
429,0,NaN,NaN,4536,NaN,NaN,0.000,429,1,255
430,3,873.833,720.167,4536,63.863,0.060,101.384,430,1,255
431,0,NaN,NaN,4536,NaN,NaN,0.000,431,1,255
432,2,382.500,971.500,4536,3.030,0.840,0.000,432,1,255
433,3,525.500,849.833,4536,3.213,1.189,28.155,433,1,255
434,0,NaN,NaN,4536,NaN,NaN,0.000,434,1,255
435,2,0.500,621.000,4536,2.257,1.128,90.000,435,1,255
436,3,256.167,597.833,4536,3.861,0.989,167.449,436,1,255
437,3,0.500,460.500,4536,3.385,1.128,90.000,437,1,255
438,2,0.500,19.000,4536,2.257,1.128,90.000,438,1,255
439,2,648.000,283.500,4536,78.952,0.032,156.392,439,1,255
440,0,NaN,NaN,4536,NaN,NaN,0.000,440,1,255
441,1,1295.500,739.500,4536,1.128,1.128,0.000,441,1,255
442,3,97.167,781.500,4536,46.293,0.083,102.991,442,1,255
443,1,1295.500,0.500,4536,1.128,1.128,90.000,443,1,255
444,1,0.500,0.500,4536,1.128,1.128,0.000,444,1,255
445,1,1295.500,687.500,4536,1.128,1.128,0.000,445,1,255
