"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FREX_07","2024-07-10 09:44:00","2024-07-10 09:10:00",NA,34,"4.9",NA,4.9,"cav14",0,"2"
"FREX_07","2024-07-10 10:32:00","2024-07-10 09:55:00",2880,37,"5.4",NA,5.4,NA,48,"2"
"FREX_07","2024-07-10 12:27:00","2024-07-10 11:28:00",6900,59,"12.5",NA,12.5,NA,163,"2"
"FREX_07","2024-07-10 13:12:00","2024-07-10 12:32:00",2700,40,"19",NA,19,"first at 12.3",208,"2"
"FREX_07","2024-07-10 14:53:00","2024-07-10 14:12:00",6060,41,"22",NA,22,"9.6",309,"2"
"FREX_07","2024-07-10 16:53:00","2024-07-10 16:12:00",7200,41,"25",NA,25,NA,429,"2"
"FREX_07","2024-07-10 19:43:00","2024-07-10 19:00:00",10200,43,"28",NA,28,"25",599,"2"
"FREX_07","2024-07-10 23:53:00","2024-07-10 23:15:00",15000,38,"28",NA,28,NA,849,"2"
"FREX_07","2024-07-11 09:47:00","2024-07-11 09:05:00",35640,42,"27",NA,27,NA,1443,"2"
"FREX_07","2024-07-11 17:50:00","2024-07-11 13:38:00",28980,252,"30",NA,30,NA,1926,"2"
"FREX_07","2024-07-11 18:33:00","2024-07-11 17:49:00",2580,44,"31",NA,31,NA,1969,"2"
"FREX_07","2024-07-12 10:07:00","2024-07-12 09:12:00",56040,55,"32",NA,32,NA,2903,"2"
"FREX_07","2024-07-12 13:03:00","2024-07-12 12:10:00",10560,53,"33",NA,33,NA,3079,"2"
"FREX_07","2024-07-12 15:54:00","2024-07-12 15:05:00",10260,49,"35",NA,35,NA,3250,"2"
"FREX_07","2024-07-12 17:38:00","2024-07-12 16:58:00",6240,40,"36",NA,36,NA,3354,"2"
"FREX_07","2024-07-12 19:55:00","2024-07-12 19:15:00",8220,40,"37",NA,37,NA,3491,"2"
"FREX_07","2024-07-13 17:43:00","2024-07-13 17:20:00",78480,23,"45.5",NA,45.5,NA,4799,"2"
"FREX_07","2024-07-14 13:03:00","2024-07-14 13:50:00",69600,-47,"55",NA,55,NA,5959,"2"
"FREX_07","2024-07-15 12:55:00","2024-07-15 12:35:00",85920,20,"60",NA,60,NA,7391,"2"
"FREX_08","2024-07-10 09:42:00","2024-07-10 09:10:00",NA,32,"22",NA,22,"4.8",0,"2"
"FREX_08","2024-07-10 10:34:00","2024-07-10 09:55:00",3120,39,"25",NA,25,"4.5",52,"2"
"FREX_08","2024-07-10 12:29:00","2024-07-10 11:28:00",6900,61,NA,NA,NA,"5.5 sic!",167,"2"
"FREX_08","2024-07-10 13:14:00","2024-07-10 12:32:00",2700,42,"30",NA,30,"cav4",212,"2"
"FREX_08","2024-07-10 14:56:00","2024-07-10 14:12:00",6120,44,"30",NA,30,NA,314,"2"
"FREX_08","2024-07-10 16:56:00","2024-07-10 16:12:00",7200,44,"34",NA,34,NA,434,"2"
"FREX_08","2024-07-10 19:45:00","2024-07-10 19:00:00",10140,45,"38",NA,38,NA,603,"2"
"FREX_08","2024-07-10 23:56:00","2024-07-10 23:15:00",15060,41,"39",NA,39,NA,854,"2"
"FREX_08","2024-07-11 09:50:00","2024-07-11 09:05:00",35640,45,"38",NA,38,NA,1448,"2"
"FREX_08","2024-07-11 17:52:00","2024-07-11 13:38:00",28920,254,"39",NA,39,NA,1930,"2"
"FREX_08","2024-07-11 18:36:00","2024-07-11 17:49:00",2640,47,"44",NA,44,NA,1974,"2"
"FREX_08","2024-07-12 10:12:00","2024-07-12 09:12:00",56160,60,"46.5",NA,46.5,NA,2910,"2"
"FREX_08","2024-07-12 13:08:00","2024-07-12 12:10:00",10560,58,"52",NA,52,NA,3086,"2"
"FREX_08","2024-07-12 16:22:00","2024-07-12 15:05:00",11640,77,"59",NA,59,"very wilted",3280,"2"
"FREX_08","2024-07-12 17:40:00","2024-07-12 16:58:00",4680,42,NA,NA,NA,"40+, too much air escaping",3358,"2"
"FASY_01","1723627440","1723626000",NA,24,"5.9",NA,5.9,NA,0,"3"
"FASY_01","1723630140","1723628400",45,29,"15.1",NA,15.1,NA,45,"3"
"FASY_01","1723632600","1723631100",41,25,"19.5",NA,19.5,NA,86,"3"
"FASY_01","1723637160","1723634580",76,43,"24",NA,24,NA,162,"3"
