"campaign","species","sample_id","year","sugar_name","date","sugar_conc"
4,"FASY","FASY_03","2023","total_sugars_mg_g",2023-09-18,100.0566
4,"FASY","FASY_04","2023","fructose_mg_g",2023-09-18,10.3687971105528
4,"FASY","FASY_04","2023","fructose_ppm",2023-09-18,8.8038
4,"FASY","FASY_04","2023","glucose_mg_g",2023-09-18,12.6786275125628
4,"FASY","FASY_04","2023","glucose_ppm",2023-09-18,10.765
4,"FASY","FASY_04","2023","glucose_starch_1",2023-09-18,33.5681
4,"FASY","FASY_04","2023","starch_mg_g",2023-09-18,11.3861645728643
4,"FASY","FASY_04","2023","sucrose_mg_g",2023-09-18,44.7433652638191
4,"FASY","FASY_04","2023","sucrose_ppm",2023-09-18,37.9901
4,"FASY","FASY_04","2023","sugar_weight_mg",2023-09-18,31.84
4,"FASY","FASY_04","2023","total_sugars_mg_g",2023-09-18,67.7907898869347
4,"FREX","FREX_05","2023","fructose_mg_g",2023-09-18,5.70110748626374
4,"FREX","FREX_05","2023","fructose_ppm",2023-09-18,4.4271
4,"FREX","FREX_05","2023","glucose_mg_g",2023-09-18,13.5066964285714
4,"FREX","FREX_05","2023","glucose_ppm",2023-09-18,10.4884
4,"FREX","FREX_05","2023","glucose_starch_1",2023-09-18,26.103
4,"FREX","FREX_05","2023","starch_mg_g",2023-09-18,9.68105769230769
4,"FREX","FREX_05","2023","sucrose_mg_g",2023-09-18,5.93419471153846
4,"FREX","FREX_05","2023","sucrose_ppm",2023-09-18,4.6081
4,"FREX","FREX_05","2023","sugar_weight_mg",2023-09-18,29.12
4,"FREX","FREX_05","2023","total_sugars_mg_g",2023-09-18,25.1419986263736
4,"FREX","FREX_06","2023","fructose_mg_g",2023-09-18,5.29912551440329
4,"FREX","FREX_06","2023","fructose_ppm",2023-09-18,4.1206
4,"FREX","FREX_06","2023","glucose_mg_g",2023-09-18,15.6891718106996
4,"FREX","FREX_06","2023","glucose_ppm",2023-09-18,12.1999
4,"FREX","FREX_06","2023","glucose_starch_1",2023-09-18,36.4617
4,"FREX","FREX_06","2023","starch_mg_g",2023-09-18,13.5043333333333
4,"FREX","FREX_06","2023","sucrose_mg_g",2023-09-18,8.93878600823045
4,"FREX","FREX_06","2023","sucrose_ppm",2023-09-18,6.9508
4,"FREX","FREX_06","2023","sugar_weight_mg",2023-09-18,29.16
4,"FREX","FREX_06","2023","total_sugars_mg_g",2023-09-18,29.9270833333333
4,"FREX","FREX_07","2023","fructose_mg_g",2023-09-18,5.56542871385842
4,"FREX","FREX_07","2023","fructose_ppm",2023-09-18,4.4657
4,"FREX","FREX_07","2023","glucose_mg_g",2023-09-18,10.722333000997
4,"FREX","FREX_07","2023","glucose_ppm",2023-09-18,8.6036
4,"FREX","FREX_07","2023","glucose_starch_1",2023-09-18,26.5073
4,"FREX","FREX_07","2023","starch_mg_g",2023-09-18,9.51408574277169
4,"FREX","FREX_07","2023","sucrose_mg_g",2023-09-18,5.7453888334995
4,"FREX","FREX_07","2023","sucrose_ppm",2023-09-18,4.6101
4,"FREX","FREX_07","2023","sugar_weight_mg",2023-09-18,30.09
4,"FREX","FREX_07","2023","total_sugars_mg_g",2023-09-18,22.0331505483549
4,"FREX","FREX_08","2023","fructose_mg_g",2023-09-18,3.85238057576716
4,"FREX","FREX_08","2023","fructose_ppm",2023-09-18,3.2473
4,"FREX","FREX_08","2023","glucose_mg_g",2023-09-18,6.31722556153116
4,"FREX","FREX_08","2023","glucose_ppm",2023-09-18,5.325
4,"FREX","FREX_08","2023","glucose_starch_1",2023-09-18,20.645
4,"FREX","FREX_08","2023","starch_mg_g",2023-09-18,7.05365390699146
4,"FREX","FREX_08","2023","sucrose_mg_g",2023-09-18,9.46516134134768
4,"FREX","FREX_08","2023","sucrose_ppm",2023-09-18,7.9785
4,"FREX","FREX_08","2023","sugar_weight_mg",2023-09-18,31.61
4,"FREX","FREX_08","2023","total_sugars_mg_g",2023-09-18,19.634767478646
