"year","campaign","sample_id","vessel_order","species","rmse_fitplc","rmse_spline","p12_fitplc","p50_fitplc","p88_fitplc","p12_lwr","p50_lwr","p88_lwr","p12_upr","p50_upr","p88_upr","p12_spline","p50_spline","p88_spline","date","date_plot"
"2023","4","FREX_06","all","FREX",229.872449913047,2.98943097917238,-4.16411842343047,-4.69405682373021,-5.22301043306593,-4.15041175349127,-4.68450251226303,-5.20697232391543,-4.17900627164719,-4.70268973015598,-5.23996101109874,-4.13056743054758,-4.63873285625245,-5.34516432539839,"2023-09-18",2000-09-18
"2023","4","FREX_06","major","FREX",183.126522128735,2.57483487672004,-3.82553597950358,-4.51881463416495,-5.21180719377264,-3.78148800121573,-4.50462815894448,-5.17268984778062,-3.86589122083709,-4.53324690307341,-5.25302994155386,-3.82286227088878,-4.47497215709263,-5.39959566188402,"2023-09-18",2000-09-18
"2023","4","FREX_07","all","FREX",202.976407028469,3.78680590136503,-3.86172491074283,-4.34839336240062,-4.83547036323915,-3.82246533162057,-4.32190787136788,-4.80376421589611,-3.90041138703356,-4.37106089660521,-4.86221397023336,-3.82434373442827,-4.22335631998908,-4.88254223978499,"2023-09-18",2000-09-18
"2023","4","FREX_07","major","FREX",227.602717827282,4.26783099420736,-3.72868096108219,-4.16255709001509,-4.59686376491892,-3.65795010186349,-4.12015239325134,-4.56461121705073,-3.77297637501742,-4.19212382040728,-4.63563333299787,-3.77968995003494,-3.98241953213445,-4.55902952583268,"2023-09-18",2000-09-18
"2024","1","FASY_01","all","FASY",310.068035412761,1.67066176953935,-3.15287136273784,-3.63487686360345,-4.11748558598664,-3.12631929676541,-3.58801742774928,-4.05209883150046,-3.17485914143068,-3.67595964063433,-4.18014810103352,-3.29261948483706,-3.84177221328974,-4.22636079753191,"2024-05-28",2000-05-28
"2024","1","FASY_01","major","FASY",190.712281413856,3.31681370413175,-2.42120856556252,-3.15072456555807,-3.88017370939633,-2.34467433959869,-3.11477182224604,-3.83024566523683,-2.49013130655549,-3.18352131242235,-3.92293432533144,-2.3593235840888,-2.94114282466643,-4.06575095327582,"2024-05-28",2000-05-28
"2024","1","FASY_02","all","FASY",222.719557928293,1.32739218117265,-4.0384165094196,-4.70586279305246,-5.37328887286692,-3.99365798710776,-4.6550807214122,-5.29841852834021,-4.08347944967495,-4.76208683181146,-5.49276274152108,-3.59308017403796,-5.06992593398959,-5.27077973158779,"2024-05-28",2000-05-28
"2024","1","FASY_02","major","FASY",284.836472946152,4.01329117493856,-3.23725201764494,-3.35352965625029,-3.47184837576779,-3.21703418354464,-3.33839865347214,-3.45248968255039,-3.25100556675861,-3.37153590643551,-3.50793853118485,-3.2401421306536,-3.35557993794527,-3.47105123236639,"2024-05-28",2000-05-28
"2024","1","FASY_03","all","FASY",254.939595417873,2.29386934397906,-3.40891006870476,-4.41670279963724,-5.42467427485861,-3.30645053923344,-4.35766973592227,-5.36861176298186,-3.49590296332942,-4.47891415825647,-5.50923536430323,-3.13346186381456,-4.79673200212783,-5.61576546999822,"2024-05-28",2000-05-28
"2024","1","FASY_03","major","FASY",299.993421335577,2.63851481644121,-2.52679976596525,-3.53204774030939,-4.53728822182693,-2.38301745142233,-3.44979657267915,-4.45460229345972,-2.70552436751023,-3.64755112947647,-4.62512317333847,-2.61045393024926,-3.0015570316526,-5.02658924281546,"2024-05-28",2000-05-28
"2024","1","FASY_04","all","FASY",192.753031771294,1.71456902579039,-3.09648652349404,-5.18819578683145,-7.28030361074637,-2.98521355891307,-5.12497204376112,-7.18378785658397,-3.2318373400264,-5.26341475143929,-7.39765190035948,-2.75661067386798,-4.43966572490729,-7.96803975704787,"2024-05-28",2000-05-28
"2024","1","FASY_04","major","FASY",218.189370169923,6.14094783085159,-1.69415073953619,-2.33212912753898,-2.97034143213141,-1.64486476669211,-2.29802149959862,-2.93213494398591,-1.75024490735707,-2.3640954796537,-2.99518074294491,-1.80990417377801,-2.34977758993615,-2.88966374959048,"2024-05-28",2000-05-28
"2024","1","FREX_05","all","FREX",206.183588391838,1.47039538825921,-4.2244439237043,-4.95315699381383,-5.68221501839691,-4.20562894287888,-4.94738933958943,-5.66621711085778,-4.24008719237108,-4.95973347868105,-5.69887070591715,-4.28996591002213,-4.94447078893975,-5.84387026066682,"2024-05-28",2000-05-28
"2024","1","FREX_05","major","FREX",292.160121905523,3.16552527663874,-3.73323133243866,-4.48646303351027,-5.24020149634501,-3.69166421415669,-4.46539669366171,-5.22799011819362,-3.76982184307913,-4.50327535069134,-5.25478756002481,-4.21657728608586,-4.3762688998383,-5.45352879359058,"2024-05-28",2000-05-28
"2024","1","FREX_06","all","FREX",310.892052411554,1.93035678084359,-2.8529211436435,-2.95363889759762,-3.05379823129707,-2.85031738825166,-2.9525858247254,-3.05280714551527,-2.855101112497,-2.95453899399752,-3.05477507357409,-2.87092926518158,-2.95530889831038,-3.0464143761697,"2024-05-28",2000-05-28
"2024","1","FREX_06","major","FREX",237.697060190437,1.78868137127582,-2.8782257841106,-2.99221807639932,-3.10619483741577,-2.87646533832812,-2.99131268673313,-3.10404262038422,-2.88054212929229,-2.99311100436649,-3.10773253143776,-2.89162087455501,-2.98905628514387,-3.09942926426329,"2024-05-28",2000-05-28
"2024","1","FREX_07","all","FREX",735.713455490145,1.20387466667023,-2.3754732704563,-2.65110700617152,-2.92720848340164,-2.32390681209275,-2.60861651863094,-2.89335624105637,-2.41948075287813,-2.6882979234751,-2.9573461338155,-3.07112085549509,-3.48089731199966,-3.70202882045384,"2024-05-28",2000-05-28
"2024","1","FREX_07","major","FREX",860.708832171982,7.59978216989278,-3.01132554171085,-3.18247711333891,-3.35373476580368,-2.99255880588414,-3.16380344711161,-3.33514101712116,-3.03288515794184,-3.2040578549436,-3.37693162603033,-3.10967321159525,-3.73271109567262,-3.79708501600753,"2024-05-28",2000-05-28
"2024","1","FREX_08","all","FREX",147.213292765483,2.99202016745251,-2.38839640941615,-2.53469630684121,NA,-2.38146517316161,-2.5279114689208,NA,-2.39588533986435,-2.5404528728678,NA,-2.48298019237966,-2.5262805508351,-2.55078364062885,"2024-05-28",2000-05-28
"2024","1","FREX_08","major","FREX",139.914415263261,3.15094519303856,-2.30509952644182,-2.46740014018062,NA,-2.29414994335085,-2.4633267126387,NA,-2.32274137732328,-2.47305138719946,NA,-2.35165229099023,-2.50815226833576,-2.54519179357035,"2024-05-28",2000-05-28
"2024","2","FASY_01","all","FASY",256.533867888865,3.01739649823823,-2.47361957581053,-3.32380088272575,-4.17398129013421,-2.39278959487287,-3.26855256343438,-4.100192338437,-2.55671315892292,-3.39489799567217,-4.27723998597864,-1.91354971626983,-4.08198971361882,-4.30430860317006,"2024-07-09",2000-07-09
"2024","2","FASY_01","major","FASY",363.447150706753,2.8999870597223,-2.17156410653611,-2.80858263141691,-3.44499118355666,-2.12459874769242,-2.77423025435643,-3.40908691666837,-2.21742994639954,-2.84108355379388,-3.48316561107121,-1.73041423225911,-2.73516938048078,-4.0592582043823,"2024-07-09",2000-07-09
"2024","2","FASY_02","all","FASY",254.38350413679,3.04270755167243,-2.40910692666057,-2.73428399810751,-3.0593695807555,-2.37793713886735,-2.70582407186083,-3.01587292132061,-2.44737609857825,-2.7711996422358,-3.11093929661152,-2.56080277587906,-2.97280409125428,-3.04535172813151,"2024-07-09",2000-07-09
"2024","2","FASY_02","major","FASY",223.871552408517,2.37880914365964,-1.64959898444272,-2.21114583478785,-2.77283967770162,-1.58445231051451,-2.18652492802952,-2.7361967973515,-1.72019919099726,-2.24383004161349,-2.81905184820074,-1.36148300328532,-2.26554646544038,-2.95012537664523,"2024-07-09",2000-07-09
"2024","2","FASY_03","all","FASY",323.051764336479,4.47550775521008,-3.66376407324795,-4.38017129507153,-5.09637431082182,-3.61033656382054,-4.31561364225166,-4.96247307622775,-3.70250223894386,-4.45433172133231,-5.24553607557132,-3.86833259775686,-4.22742390559642,-4.92601382534468,"2024-07-09",2000-07-09
"2024","2","FASY_03","major","FASY",213.849108950755,5.51831834695416,-3.23612839952069,-4.18398743371569,-5.1322278749892,-3.19567432685152,-4.14781371154174,-5.05987623517206,-3.28206235719976,-4.2155505469974,-5.21112913494883,-3.44321413833709,-4.15833431906618,-4.80946385645254,"2024-07-09",2000-07-09
"2024","2","FASY_04","all","FASY",301.537831819416,4.72482964649708,-3.53345661316909,-4.59121597631806,-5.64822756082488,-3.47228511478201,-4.54476304455388,-5.59899200946016,-3.58201614006684,-4.63817349161848,-5.69503617531739,-3.66435234310244,-3.97562571684442,-5.32447651695137,"2024-07-09",2000-07-09
"2024","2","FASY_04","major","FASY",268.302367663152,5.5793919157407,-3.38714686361781,-4.43083268297089,-5.47354336190178,-3.35346503478647,-4.40449285281138,-5.44965877505275,-3.41748659536733,-4.45209976777338,-5.49302576192985,-3.45960115574092,-4.3479005244857,-5.27160426817406,"2024-07-09",2000-07-09
"2024","2","FREX_05","all","FREX",322.978120915675,2.75729342348781,-5.02354914469789,-6.38514522513472,-7.74712501145151,-5.00206528641441,-6.35363931394897,-7.7030269671632,-5.04680462166323,-6.4165279810773,-7.78570003709457,-4.77312009455035,-6.88554463670134,-7.63096197581716,"2024-07-09",2000-07-09
"2024","2","FREX_05","major","FREX",163.385580779324,5.084546096182,-3.39145431945771,-4.75100280917187,-6.11047252914459,-3.3609849056983,-4.73260287138097,-6.07287973023913,-3.4200538514881,-4.77275603408673,-6.14665661241288,-3.47395333720574,-4.49395005518017,-6.68738527418081,"2024-07-09",2000-07-09
"2024","2","FREX_06","all","FREX",230.204311065581,3.0808850952249,-4.24118544142594,-5.4221775524065,-6.60311631576172,-4.22661110405622,-5.38549994068828,-6.53078088723856,-4.26008395353192,-5.46335120187717,-6.68740653872023,-4.08818634766135,-6.32994813702278,-6.62589150093071,"2024-07-09",2000-07-09
"2024","2","FREX_06","major","FREX",334.604053431557,3.54810823034665,-3.62652735865722,-4.73616025867525,-5.84607807998234,-3.55755712349896,-4.69241841270308,-5.82242169522739,-3.69092661801555,-4.77931629962117,-5.87062970419398,-3.343204155102,-4.1594973485783,-6.56556795035327,"2024-07-09",2000-07-09
